,Bank Name,City,State,Cert,Acquiring Institution,Closing Date,Fund
0,Almena State Bank,Almena,KS,15426,Equity Bank,23-Oct-20,10538
1,First City Bank of Florida,Fort Walton Beach,FL,16748,"United Fidelity Bank, fsb",16-Oct-20,10537
2,The First State Bank,Barboursville,WV,14361,"MVB Bank, Inc.",3-Apr-20,10536
3,Ericson State Bank,Ericson,NE,18265,Farmers and Merchants Bank,14-Feb-20,10535
4,City National Bank of New Jersey,Newark,NJ,21111,Industrial Bank,1-Nov-19,10534
5,Resolute Bank,Maumee,OH,58317,Buckeye State Bank,25-Oct-19,10533
6,Louisa Community Bank,Louisa,KY,58112,Kentucky Farmers Bank Corporation,25-Oct-19,10532
7,The Enloe State Bank,Cooper,TX,10716,"Legend Bank, N. A.",31-May-19,10531
8,Washington Federal Bank for Savings,Chicago,IL,30570,Royal Savings Bank,15-Dec-17,10530
9,The Farmers and Merchants State Bank of Argonia,Argonia,KS,17719,Conway Bank,13-Oct-17,10529
10,Fayette County Bank,Saint Elmo,IL,1802,"United Fidelity Bank, fsb",26-May-17,10528
11,"Guaranty Bank, (d/b/a BestBank in Georgia & Michigan)",Milwaukee,WI,30003,First-Citizens Bank & Trust Company,5-May-17,10527
12,First NBC Bank,New Orleans,LA,58302,Whitney Bank,28-Apr-17,10526
13,Proficio Bank,Cottonwood Heights,UT,35495,Cache Valley Bank,3-Mar-17,10525
14,Seaway Bank and Trust Company,Chicago,IL,19328,State Bank of Texas,27-Jan-17,10524
15,Harvest Community Bank,Pennsville,NJ,34951,First-Citizens Bank & Trust Company,13-Jan-17,10523
16,Allied Bank,Mulberry,AR,91,Today's Bank,23-Sep-16,10522
17,The Woodbury Banking Company,Woodbury,GA,11297,United Bank,19-Aug-16,10521
18,First CornerStone Bank,King of Prussia,PA,35312,First-Citizens Bank & Trust Company,6-May-16,10520
19,Trust Company Bank,Memphis,TN,9956,The Bank of Fayette County,29-Apr-16,10519
20,North Milwaukee State Bank,Milwaukee,WI,20364,First-Citizens Bank & Trust Company,11-Mar-16,10518
21,Hometown National Bank,Longview,WA,35156,Twin City Bank,2-Oct-15,10517
22,The Bank of Georgia,Peachtree City,GA,35259,Fidelity Bank,2-Oct-15,10516
23,Premier Bank,Denver,CO,34112,"United Fidelity Bank, fsb",10-Jul-15,10515
24,Edgebrook Bank,Chicago,IL,57772,Republic Bank of Chicago,8-May-15,10514
25,Doral Bank,San Juan,PR,32102,Banco Popular de Puerto Rico,27-Feb-15,10513
26,Capitol City Bank & Trust Company,Atlanta,GA,33938,First-Citizens Bank & Trust Company,13-Feb-15,10512
27,Highland Community Bank,Chicago,IL,20290,"United Fidelity Bank, fsb",23-Jan-15,10511
28,First National Bank of Crestview,Crestview,FL,17557,First NBC Bank,16-Jan-15,10510
29,Northern Star Bank,Mankato,MN,34983,BankVista,19-Dec-14,10509
30,"Frontier Bank, FSB D/B/A El Paseo Bank",Palm Desert,CA,34738,"Bank of Southern California, N.A.",7-Nov-14,10508
31,The National Republic Bank of Chicago,Chicago,IL,916,State Bank of Texas,24-Oct-14,10507
32,NBRS Financial,Rising Sun,MD,4862,Howard Bank,17-Oct-14,10506
33,"GreenChoice Bank, fsb",Chicago,IL,28462,"Providence Bank, LLC",25-Jul-14,10505
34,Eastside Commercial Bank,Conyers,GA,58125,Community & Southern Bank,18-Jul-14,10504
35,The Freedom State Bank,Freedom,OK,12483,Alva State Bank & Trust Company,27-Jun-14,10503
36,Valley Bank,Fort Lauderdale,FL,21793,"Landmark Bank, National Association",20-Jun-14,10501
37,Valley Bank,Moline,IL,10450,Great Southern Bank,20-Jun-14,10502
38,Slavie Federal Savings Bank,Bel Air,MD,32368,"Bay Bank, FSB",30-May-14,10500
39,Columbia Savings Bank,Cincinnati,OH,32284,"United Fidelity Bank, fsb",23-May-14,10499
40,AztecAmerica Bank,Berwyn,IL,57866,Republic Bank of Chicago,16-May-14,10498
